,T,r,mu,sigma,S0,K,Price
9357,1.0,0.0,0.24,0.12000000000000001,116.66666666666666,140.0,1.0796916018127094
9358,1.0,0.0,0.24,0.12000000000000001,116.66666666666666,151.66666666666666,0.10196673955066093
9359,1.0,0.0,0.24,0.12000000000000001,127.77777777777777,89.44444444444443,55.08171220158045
9360,1.0,0.0,0.24,0.12000000000000001,127.77777777777777,102.22222222222221,42.1275289853456
9361,1.0,0.0,0.24,0.12000000000000001,127.77777777777777,115.0,29.32414527995722
9362,1.0,0.0,0.24,0.12000000000000001,127.77777777777777,127.77777777777777,16.70639652292409
9363,1.0,0.0,0.24,0.12000000000000001,127.77777777777777,140.55555555555557,6.341260012002443
9364,1.0,0.0,0.24,0.12000000000000001,127.77777777777777,153.33333333333334,1.3049791551746839
9365,1.0,0.0,0.24,0.12000000000000001,127.77777777777777,166.11111111111111,0.11399112178619254
9366,1.0,0.0,0.24,0.12000000000000001,138.88888888888889,97.22222222222221,59.70602162898608
9367,1.0,0.0,0.24,0.12000000000000001,138.88888888888889,111.1111111111111,45.74328283911115
9368,1.0,0.0,0.24,0.12000000000000001,138.88888888888889,125.0,32.20821846475822
9369,1.0,0.0,0.24,0.12000000000000001,138.88888888888889,138.88888888888889,18.328532379148882
9370,1.0,0.0,0.24,0.12000000000000001,138.88888888888889,152.7777777777778,6.735980650479044
9371,1.0,0.0,0.24,0.12000000000000001,138.88888888888889,166.66666666666669,1.2041908666522239
9372,1.0,0.0,0.24,0.12000000000000001,138.88888888888889,180.55555555555557,0.12167487583153684
9373,1.0,0.0,0.24,0.12000000000000001,150.0,105.0,64.67994519215097
9374,1.0,0.0,0.24,0.12000000000000001,150.0,119.99999999999999,49.46399145219509
9375,1.0,0.0,0.24,0.12000000000000001,150.0,135.0,34.342531619752194
9376,1.0,0.0,0.24,0.12000000000000001,150.0,150.0,19.714598104675744
9377,1.0,0.0,0.24,0.12000000000000001,150.0,165.0,7.240651053717208
9378,1.0,0.0,0.24,0.12000000000000001,150.0,180.00000000000003,1.404053066231856
9379,1.0,0.0,0.24,0.12000000000000001,150.0,195.0,0.145868490498404
9380,1.0,0.0,0.24,0.19,50.0,35.0,21.522948116440386
9381,1.0,0.0,0.24,0.19,50.0,40.0,16.554121627193776
9382,1.0,0.0,0.24,0.19,50.0,45.0,11.552005932265754
9383,1.0,0.0,0.24,0.19,50.0,50.0,6.827564193117674
9384,1.0,0.0,0.24,0.19,50.0,55.00000000000001,3.3444253183128114
9385,1.0,0.0,0.24,0.19,50.0,60.00000000000001,1.2930117451310106
9386,1.0,0.0,0.24,0.19,50.0,65.0,0.3556160130738643
9387,1.0,0.0,0.24,0.19,61.111111111111114,42.77777777777778,26.306805273790697
9388,1.0,0.0,0.24,0.19,61.111111111111114,48.888888888888886,20.152056687698966
9389,1.0,0.0,0.24,0.19,61.111111111111114,55.00000000000001,14.0707202245716
9390,1.0,0.0,0.24,0.19,61.111111111111114,61.111111111111114,8.413740463270651
9391,1.0,0.0,0.24,0.19,61.111111111111114,67.22222222222223,4.124689233976019
9392,1.0,0.0,0.24,0.19,61.111111111111114,73.33333333333334,1.5131998159982865
9393,1.0,0.0,0.24,0.19,61.111111111111114,79.44444444444446,0.44626842621267343
9394,1.0,0.0,0.24,0.19,72.22222222222223,50.55555555555556,31.029331672070683
9395,1.0,0.0,0.24,0.19,72.22222222222223,57.77777777777778,23.79929579753571
9396,1.0,0.0,0.24,0.19,72.22222222222223,65.00000000000001,16.76021661072612
9397,1.0,0.0,0.24,0.19,72.22222222222223,72.22222222222223,10.017360040806507
9398,1.0,0.0,0.24,0.19,72.22222222222223,79.44444444444446,4.9362852046574845
9399,1.0,0.0,0.24,0.19,72.22222222222223,86.66666666666669,1.8069563317343182
