,T,n_step,r,mu,sigma,S0,K,Price
4731,0.5,132.0,0.03,0.3,0.12000000000000001,105.55555555555556,137.22222222222223,0.0
4732,0.5,132.0,0.03,0.3,0.12000000000000001,116.66666666666666,81.66666666666666,43.62306574183639
4733,0.5,132.0,0.03,0.3,0.12000000000000001,116.66666666666666,93.33333333333331,32.095095888370864
4734,0.5,132.0,0.03,0.3,0.12000000000000001,116.66666666666666,105.0,20.541658672585875
4735,0.5,132.0,0.03,0.3,0.12000000000000001,116.66666666666666,116.66666666666666,9.31013705715933
4736,0.5,132.0,0.03,0.3,0.12000000000000001,116.66666666666666,128.33333333333334,1.4213192340838576
4737,0.5,132.0,0.03,0.3,0.12000000000000001,116.66666666666666,140.0,0.04316687078456486
4738,0.5,132.0,0.03,0.3,0.12000000000000001,116.66666666666666,151.66666666666666,0.0
4739,0.5,132.0,0.03,0.3,0.12000000000000001,127.77777777777777,89.44444444444443,47.654146423956036
4740,0.5,132.0,0.03,0.3,0.12000000000000001,127.77777777777777,102.22222222222221,35.20260588202161
4741,0.5,132.0,0.03,0.3,0.12000000000000001,127.77777777777777,115.0,22.503752837139274
4742,0.5,132.0,0.03,0.3,0.12000000000000001,127.77777777777777,127.77777777777777,10.101054015390972
4743,0.5,132.0,0.03,0.3,0.12000000000000001,127.77777777777777,140.55555555555557,1.5673216251464979
4744,0.5,132.0,0.03,0.3,0.12000000000000001,127.77777777777777,153.33333333333334,0.04771362544085604
4745,0.5,132.0,0.03,0.3,0.12000000000000001,127.77777777777777,166.11111111111111,0.0
4746,0.5,132.0,0.03,0.3,0.12000000000000001,138.88888888888889,97.22222222222221,51.91648612325481
4747,0.5,132.0,0.03,0.3,0.12000000000000001,138.88888888888889,111.1111111111111,38.165384115159924
4748,0.5,132.0,0.03,0.3,0.12000000000000001,138.88888888888889,125.0,24.419326934026454
4749,0.5,132.0,0.03,0.3,0.12000000000000001,138.88888888888889,138.88888888888889,11.045954892961818
4750,0.5,132.0,0.03,0.3,0.12000000000000001,138.88888888888889,152.7777777777778,1.8071346590245745
4751,0.5,132.0,0.03,0.3,0.12000000000000001,138.88888888888889,166.66666666666669,0.05447629964123702
4752,0.5,132.0,0.03,0.3,0.12000000000000001,138.88888888888889,180.55555555555557,0.0
4753,0.5,132.0,0.03,0.3,0.12000000000000001,150.0,105.0,56.028516728905196
4754,0.5,132.0,0.03,0.3,0.12000000000000001,150.0,119.99999999999999,41.12811988226649
4755,0.5,132.0,0.03,0.3,0.12000000000000001,150.0,135.0,26.428763204833942
4756,0.5,132.0,0.03,0.3,0.12000000000000001,150.0,150.0,11.782150277119284
4757,0.5,132.0,0.03,0.3,0.12000000000000001,150.0,165.0,1.8929553446290015
4758,0.5,132.0,0.03,0.3,0.12000000000000001,150.0,180.00000000000003,0.0485575318505123
4759,0.5,132.0,0.03,0.3,0.12000000000000001,150.0,195.0,9.817738728941254e-05
4760,0.5,132.0,0.03,0.3,0.19,50.0,35.0,18.71431923520368
4761,0.5,132.0,0.03,0.3,0.19,50.0,40.0,13.794726689000225
4762,0.5,132.0,0.03,0.3,0.19,50.0,45.0,8.819418998969118
4763,0.5,132.0,0.03,0.3,0.19,50.0,50.0,4.280786636850751
4764,0.5,132.0,0.03,0.3,0.19,50.0,55.00000000000001,1.2480449521031487
4765,0.5,132.0,0.03,0.3,0.19,50.0,60.00000000000001,0.2108653131007027
4766,0.5,132.0,0.03,0.3,0.19,50.0,65.0,0.014594491408078433
4767,0.5,132.0,0.03,0.3,0.19,61.111111111111114,42.77777777777778,22.822345890026185
4768,0.5,132.0,0.03,0.3,0.19,61.111111111111114,48.888888888888886,16.894236504090305
4769,0.5,132.0,0.03,0.3,0.19,61.111111111111114,55.00000000000001,10.781218073209455
4770,0.5,132.0,0.03,0.3,0.19,61.111111111111114,61.111111111111114,5.264563918278418
4771,0.5,132.0,0.03,0.3,0.19,61.111111111111114,67.22222222222223,1.5362436191761508
4772,0.5,132.0,0.03,0.3,0.19,61.111111111111114,73.33333333333334,0.2174921466934179
4773,0.5,132.0,0.03,0.3,0.19,61.111111111111114,79.44444444444446,0.021721217540210915
4774,0.5,132.0,0.03,0.3,0.19,72.22222222222223,50.55555555555556,26.96165343166521
4775,0.5,132.0,0.03,0.3,0.19,72.22222222222223,57.77777777777778,19.87361819325161
4776,0.5,132.0,0.03,0.3,0.19,72.22222222222223,65.00000000000001,12.723991815174518
4777,0.5,132.0,0.03,0.3,0.19,72.22222222222223,72.22222222222223,6.162805769120832
4778,0.5,132.0,0.03,0.3,0.19,72.22222222222223,79.44444444444446,1.7935774838131697
4779,0.5,132.0,0.03,0.3,0.19,72.22222222222223,86.66666666666669,0.29080676418864876
4780,0.5,132.0,0.03,0.3,0.19,72.22222222222223,93.8888888888889,0.026998813444019772
